Publication title,Link,Abstract,Date,Author information
multi-objective optimization for controlling the dynamics of the diabetic population,https://pureportal.coventry.ac.uk/en/publications/multi-objective-optimization-for-controlling-the-dynamics-of-the-,"To limit the adverse effects of diabetes, a personalized and long-term management strategy that includes appropriate medication, exercise and diet has become of paramount importance and necessity...",2 Jul 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
not born of woman: gendered robots,https://pureportal.coventry.ac.uk/en/publications/not-born-of-woman-gendered-robots,"This chapter posits that gender, while being messy and non-binary, is a salient consideration in the development of virtual and embodied robots to avoid replicating stereotypical representations of men and women's roles and occupations in our future artificial work colleagues, and companions...",2023,"['Huma Shah, https://pureportal.coventry.ac.uk/en/persons/huma-shah']"
on the impact of prior distributions on efficiency of sparse gaussian process regression,https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-prior-distributions-on-efficiency-of-sparse-gaus,"Gaussian process regression (GPR) is a kernel-based learning model, which unfortunately suffers from computational intractability for irregular domain and large datasets due to the full kernel matrix...",26 Jun 2022,"['Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
opt-rnn-dbsvm: optimal recurrent neural network and density-based support vector machine,https://pureportal.coventry.ac.uk/en/publications/opt-rnn-dbsvm-optimal-recurrent-neural-network-and-density-based-,"When implementing SVMs, two major problems are encountered: (a) the number of local minima of dual-SVM increases exponentially with the number of samples and (b) the computer storage memory required for a regular quadratic programming solver increases exponentially as the problem size expands...",17 Aug 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
patienthandnet: 3-d open-palm hand reconstruction from sparse multiview depth images,https://pureportal.coventry.ac.uk/en/publications/patienthandnet-3-d-open-palm-hand-reconstruction-from-sparse-mult,"Accurately reconstructing 3-D hand shapes of patients is important for immobilization device customization, artificial limb generation, and hand disease diagnosis...",22 Aug 2023,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
physics informed neural networks to model the hydro-morphodynamics of mangrove environments,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-to-model-the-hydro-morphodynamic,Modelling the hydro-morphodynamics of mangrove environments is key for implementing successful protection and restoration projects in a climatically vulnerable region...,2023,"['Majdi Fanous, https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'Jonathan Eden, https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
pll-based enhanced control of boost pfc converter for smart farming lighting application,https://pureportal.coventry.ac.uk/en/publications/pll-based-enhanced-control-of-boost-pfc-converter-for-smart-farmi,Controlled environment farming has become an attractive solution to increase the food production with limited use of resources...,13 Oct 2023,"['Miao Lin Pay, https://pureportal.coventry.ac.uk/en/persons/miao-lin-pay', 'Jesper Christensen, https://pureportal.coventry.ac.uk/en/persons/jesper-christensen', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he', 'Laura Roden, https://pureportal.coventry.ac.uk/en/persons/laura-roden']"
point2partvolume: human body volume estimation from a single depth image,https://pureportal.coventry.ac.uk/en/publications/point2partvolume-human-body-volume-estimation-from-a-single-depth,Human body volume is a useful biometric feature for human identification and an important medical indicator for monitoring body health...,9 Jun 2023,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
posenormnet: identity-preserved posture normalization of 3d body scans in arbitrary postures,https://pureportal.coventry.ac.uk/en/publications/posenormnet-identity-preserved-posture-normalization-of-3d-body-s,"3D human models accurately represent the shape of the subjects, which is key to many human-centric industrial applications, including fashion design, body biometrics extraction, and computer animation...",16 Feb 2023,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
quantum-behaved particle swarm optimization with dynamic grouping searching strategy,https://pureportal.coventry.ac.uk/en/publications/quantum-behaved-particle-swarm-optimization-with-dynamic-grouping,"The quantum-behaved particle swarm optimization (QPSO) algorithm, a variant of particle swarm optimization (PSO), has been proven to be an effective tool to solve various of optimization problems...",18 May 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
smt-solving induction proofs of inequalities,https://pureportal.coventry.ac.uk/en/publications/smt-solving-induction-proofs-of-inequalities,This paper accompanies a new dataset of non-linear real arithmetic problems for the SMT-LIB benchmark collection...,18 Aug 2023,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
spectral-spatial classification with naive bayes and adaptive fft for improved classification accuracy of hyperspectral images,https://pureportal.coventry.ac.uk/en/publications/spectral-spatial-classification-with-naive-bayes-and-adaptive-fft,This article presents a postprocessing-based spectral-spatial classification (SSC) approach for hyperspectral (HS) images...,25 Oct 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
stochastic dynamics of fusion low-to-high confinement mode (l-h) transition: correlation and causal analyses using information geometry,https://pureportal.coventry.ac.uk/en/publications/stochastic-dynamics-of-fusion-low-to-high-confinement-mode-l-h-tr,We investigate the stochastic dynamics of the prey–predator model of the Low-to-High confinement mode (L-H) transition in magnetically confined fusion plasmas...,22 Dec 2023,"['Eun-jin Kim, https://pureportal.coventry.ac.uk/en/persons/e-j-kim', 'Abhiram Thiruthummal, https://pureportal.coventry.ac.uk/en/persons/abhiram-thiruthummal']"
the effect of graph frequencies on dynamic structures in graph signal processing,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-graph-frequencies-on-dynamic-structures-in-graph-si,Multivariate signals are signals consisting of multiple signals measured simultaneously over time and are most commonly acquired by sensor networks...,19 Jan 2023,"['S. Goerttler, https://pureportal.coventry.ac.uk/en/persons/stephan-goerttler', 'F. He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
the role of wrist-worn technology in the management of parkinson’s disease in daily life: a narrative review,https://pureportal.coventry.ac.uk/en/publications/the-role-of-wrist-worn-technology-in-the-management-of-parkinsons,Parkinson’s disease (PD) is a neurodegenerative disorder that affects millions of people worldwide...,12 Apr 2023,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
unidirectional migration of populations with allee effect,https://pureportal.coventry.ac.uk/en/publications/unidirectional-migration-of-populations-with-allee-effect,"In this note we consider two populations living on identical patches, connected by unidirectional migration, and subject to strong Allee effect...",10 Jan 2023,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh', 'AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh']"
usma-bof: a novel bag-of-features algorithm for classification of infected plant leaf images in precision agriculture,https://pureportal.coventry.ac.uk/en/publications/usma-bof-a-novel-bag-of-features-algorithm-for-classification-of-,The automatic recognition and classification of infected plant leaves play an important role in precision agriculture and in helping to improve crop yields...,12 Oct 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
xdll: explained deep learning lidar-based localization and mapping method for self-driving vehicles,https://pureportal.coventry.ac.uk/en/publications/xdll-explained-deep-learning-lidar-based-localization-and-mapping,Self-driving vehicles need a robust positioning system to continue the revolution in intelligent transportation...,22 Jan 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
young people and smart local energy systems: an ‘evaluative performance’ experiment,https://pureportal.coventry.ac.uk/en/publications/young-people-and-smart-local-energy-systems-an-evaluative-perform,n the energy 4...,31 May 2023,"['Charlie Ingram, https://pureportal.coventry.ac.uk/en/persons/charlie-ingram', 'Ingram, C., https://pureportal.coventry.ac.uk/en/persons/charlie-ingram', 'Halford, A. (ed.), https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Gaura, E. (ed.), https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
a community energy management system for smart microgrids,https://pureportal.coventry.ac.uk/en/publications/a-community-energy-management-system-for-smart-microgrids,Community micro-grid energy projects are needed to drive de-carbonisation and increase equity of energy systems among displaced communities...,9 Apr 2022,"['Jonathan Daniel Nixon, https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
a hybrid linear iterative clustering and bayes classification-based grabcut segmentation scheme for dynamic detection of cervical cancer,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-linear-iterative-clustering-and-bayes-classification-bas,Cervical cancer earlier detection remains indispensable for enhancing the survival rate probability among women patients worldwide...,18 Oct 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
allocating medical resources (vaccine) to control a pandemic,https://pureportal.coventry.ac.uk/en/publications/allocating-medical-resources-vaccine-to-control-a-pandemic,"In the aftermath of the COVID-19 pandemic, we need to better understand how to prepare for other pandemics in the future...",26 Apr 2022,"['Michael Ajao-olarinoye, https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye']"
an agent-based optimisation approach for vehicle routing problem with unique vehicle location and depot,https://pureportal.coventry.ac.uk/en/publications/an-agent-based-optimisation-approach-for-vehicle-routing-problem-,The Vehicle Routing Problem (VRP) is a well studied logistical problem along with its various variants such as VRP with customer Time-Window (VRPTW)...,20 Dec 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
an effective swarm intelligence optimization algorithm for flexible ligand docking,https://pureportal.coventry.ac.uk/en/publications/an-effective-swarm-intelligence-optimization-algorithm-for-flexib,"In general, flexible ligand docking is used for docking simulations under the premise that the position of the binding site is already known, and meanwhile, it can also be used without prior knowledge of the binding site...",10 Aug 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
an improved gaussian distribution based quantum-behaved particle swarm optimization algorithm for engineering shape design problems,https://pureportal.coventry.ac.uk/en/publications/an-improved-gaussian-distribution-based-quantum-behaved-particle-,"In this article, an improved Gaussian distribution based quantum-behaved particle swarm optimization (IG-QPSO) algorithm is proposed to solve engineering shape design problems with multiple constraints...",23 Mar 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
an integrated framework for diagnosing process faults with incomplete features,https://pureportal.coventry.ac.uk/en/publications/an-integrated-framework-for-diagnosing-process-faults-with-incomp,Handling missing values and large-dimensional features are crucial requirements for data-driven fault diagnosis systems...,26 Nov 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
an smt solver for non-linear real arithmetic inside maple,https://pureportal.coventry.ac.uk/en/publications/an-smt-solver-for-non-linear-real-arithmetic-inside-maple-2,We report on work-in-progress to create an SMT-solver inside Maple for non-linear real arithmetic (NRA)...,23 Nov 2022,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
an smt solver for non-linear real arithmetic inside maple,https://pureportal.coventry.ac.uk/en/publications/an-smt-solver-for-non-linear-real-arithmetic-inside-maple,not available,6 Jul 2022,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
application of amazon web services within teaching & learning at coventry university group,https://pureportal.coventry.ac.uk/en/publications/application-of-amazon-web-services-within-teaching-amp-learning-a,"Since September 2020, CU Group offers a Cloud Computing BSc(Hons) degree program developed with support from Amazon Web Services (AWS), leveraging their platform for teaching and learning and building upon their Cloud Competency Framework (CCF)...",6 Jan 2022,"['Daniel Flood, https://pureportal.coventry.ac.uk/en/persons/dan-flood']"
artificial intelligence in cars: how close yet far are we from fully autonomous vehicles?,https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-in-cars-how-close-yet-far-are-we-from-ful,"In the last several years, strides in Artificial Intelligence (AI) have allowed for substantial developments in autonomous driving...",3 May 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Ankur Deo, https://pureportal.coventry.ac.uk/en/persons/ankur-deo']"
assessing risks in dairy supply chain systems: a system dynamics approach,https://pureportal.coventry.ac.uk/en/publications/assessing-risks-in-dairy-supply-chain-systems-a-system-dynamics-a,"Due to the dynamic nature of the food supply chain system, food supply management could suffer because of, and be interrupted by, unforeseen events...",4 Aug 2022,"['Maryam Azizsafaei, https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
bispectrum-based cross-frequency functional connectivity: classification of alzheimer's disease,https://pureportal.coventry.ac.uk/en/publications/bispectrum-based-cross-frequency-functional-connectivity-classifi,Alzheimer’s disease (AD) is a neurodegenerative disease known to affect brain functional connectivity (FC)...,8 Sept 2022,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
brain tumor classification using a combination of variational autoencoders and generative adversarial networks,https://pureportal.coventry.ac.uk/en/publications/brain-tumor-classification-using-a-combination-of-variational-aut,Brain tumors are a pernicious cancer with one of the lowest five-year survival rates...,21 Jan 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
characterising alzheimers disease with eeg-based energy landscape analysis,https://pureportal.coventry.ac.uk/en/publications/characterising-alzheimers-disease-with-eeg-based-energy-landscape-2,"Alzheimer's disease (AD) is one of the most common neurodegenerative diseases, with around 50 million patients worldwide...",18 Aug 2021,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
comparative graph-based summarization of scientific papers guided by comparative citations,https://pureportal.coventry.ac.uk/en/publications/comparative-graph-based-summarization-of-scientific-papers-guided,"With the rapid growth of scientific papers, understanding the changes and trends in a research area is rather time-consuming...",Oct 2022,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang']"
comparing the behaviour of two topic-modelling algorithms in covid-19 vaccination tweets,https://pureportal.coventry.ac.uk/en/publications/comparing-the-behaviour-of-two-topic-modelling-algorithms-in-covi,Coronavirus is a newly developed infectious disease that has triggered a pandemic due to its ease of transmission as of early 2020...,Jan 2022,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
contextualised modelling for effective citation function classification,https://pureportal.coventry.ac.uk/en/publications/contextualised-modelling-for-effective-citation-function-classifi,Citation function classification is an important task in scientific text mining...,16 Dec 2022,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang']"
convolution neural networks for pothole detection of critical road infrastructure,https://pureportal.coventry.ac.uk/en/publications/convolution-neural-networks-for-pothole-detection-of-critical-roa,A well developed and maintained highway infrastructure is essential for the economic and social prosperity of modern societies...,16 Feb 2022,"['Anup Kumar Pandey, https://pureportal.coventry.ac.uk/en/persons/anup-pandey-2', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
data-driven dynamical modelling of a pathogen-infected plant gene regulatory network: a comparative analysis,https://pureportal.coventry.ac.uk/en/publications/data-driven-dynamical-modelling-of-a-pathogen-infected-plant-gene,Recent advances in synthetic biology have enabled the design of genetic feedback control circuits that could be implemented to build resilient plants against pathogen attacks...,1 Jul 2022,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
detection of sleep apnea using machine learning algorithms based on ecg signals: a comprehensive systematic review,https://pureportal.coventry.ac.uk/en/publications/detection-of-sleep-apnea-using-machine-learning-algorithms-based-,Sleep apnea (SA) is a common sleep disorder that is not easy to detect...,25 Sept 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
differential radial basis function network for sequence modelling,https://pureportal.coventry.ac.uk/en/publications/differential-radial-basis-function-network-for-sequence-modelling,We propose a differential radial basis function (RBF) network termed RBF-DiffNet—whose hidden layer blocks are partial differential equations (PDEs) linear in terms of the RBF—to make the baseline RBF network robust to noise in sequential data...,13 Oct 2021,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
eeg-based graph neural network classification of alzheimer's disease: an empirical evaluation of functional connectivity methods,https://pureportal.coventry.ac.uk/en/publications/eeg-based-graph-neural-network-classification-of-alzheimers-disea,Alzheimer's disease (AD) is the leading form of dementia worldwide...,6 Sept 2022,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
efficacy of covid-19 vaccines by race and ethnicity,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-covid-19-vaccines-by-race-and-ethnicity,"Objectives: Vaccine uptake amongst ethnic minority populations has been persistently lower, which may be because of socio-economic factors such as health literacy and health insurance status...",5 May 2022,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
examining type 1 diabetes mathematical models using experimental data,https://pureportal.coventry.ac.uk/en/publications/examining-type-1-diabetes-mathematical-models-using-experimental-,Type 1 diabetes requires treatment with insulin injections and monitoring glucose levels in affected individuals...,10 Jan 2022,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
exploiting domain structures in heuristic algorithms for the set covering problem: a literature review,https://pureportal.coventry.ac.uk/en/publications/exploiting-domain-structures-in-heuristic-algorithms-for-the-set-,"This review aims at understanding the set covering problem (SCP) as an NP-hard problem, the variants of SCP, the methods that have been proposed to solve the problem, and gaps in the existing solutions that have been provided which need further research...",1 Apr 2022,"['Abiola Babatunde, https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde']"
exploring dynamical properties of a type 1 diabetes model using sensitivity approaches,https://pureportal.coventry.ac.uk/en/publications/exploring-dynamical-properties-of-a-type-1-diabetes-model-using-s,"The high global prevalence of diabetes, and the extortionate costs imposed on healthcare providers necessitate further research to understand different perspectives of the disease...",18 May 2022,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
"fast, detailed, accurate simulation of a thermal car-cabin using machine-learning",https://pureportal.coventry.ac.uk/en/publications/fast-detailed-accurate-simulation-of-a-thermal-car-cabin-using-ma,"Car-cabin thermal systems, including heated seats, air-conditioning, and radiant panels, use a large proportion of the energy budget of electric vehicles and thus reduce their effective range...",10 Mar 2022,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
feedback and engagement on an introductory programming module,https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,We ran a study on engagement and achievement for a first year undergraduate programming module which  used an online learning environment containing tasks which generate automated feedback...,6 Jan 2022,"['Beate Grawemeyer, https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer', 'John Halloran, https://pureportal.coventry.ac.uk/en/persons/john-halloran', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
framework for generating integrable expressions,https://pureportal.coventry.ac.uk/en/publications/framework-for-generating-integrable-expressions,Applications of machine learning are becoming more prominent in the field of computer algebra...,2 Nov 2022,"['Rashid Barket, https://pureportal.coventry.ac.uk/en/persons/rashid-barket']"
from theory to practice: a review of co-design methods for humanitarian energy ecosystems,https://pureportal.coventry.ac.uk/en/publications/from-theory-to-practice-a-review-of-co-design-methods-for-humanit,Our planet is currently in the midst of a global humanitarian crisis...,23 Feb 2022,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Gaura, E., https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Nixon, J., https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon']"
gaussian process emulation of spatio-temporal outputs of a 2d inland flood model,https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl,The computational limitations of complex numerical models have led to adoption of statistical emulators across a variety of problems in science and engineering disciplines to circumvent the high computational costs associated with numerical simulations...,14 Sept 2022,"['James Donnelly, https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
improving the pedestrian detection performance in the absence of rich training datasets: a uk case study,https://pureportal.coventry.ac.uk/en/publications/improving-the-pedestrian-detection-performance-in-the-absence-of-,The World Health Organization estimates that well in excess of one million of lives are lost each year due to road traffic accidents...,31 Mar 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
incorporating forecasting and peer-to-peer negotiation frameworks into a distributed model predictive control approach for meshed electric networks,https://pureportal.coventry.ac.uk/en/publications/incorporating-forecasting-and-peer-to-peer-negotiation-frameworks,The continuous integration of renewable energy sources into power networks is causing a paradigm shift in energy generation and distribution with regard to trading and control...,15 Mar 2022,"['Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
kac-rice formulas and the number of solutions of parametrized systems of polynomial equations,https://pureportal.coventry.ac.uk/en/publications/kac-rice-formulas-and-the-number-of-solutions-of-parametrized-sys,Kac-Rice formulas express the expected number of elements a fiber of a random field has in terms of a multivariate integral...,11 Aug 2022,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh']"
leveraging arabic sentiment classification using an enhanced cnn-lstm approach and effective arabic text preparation,https://pureportal.coventry.ac.uk/en/publications/leveraging-arabic-sentiment-classification-using-an-enhanced-cnn-,The high variety in the forms of the Arabic words creates significant complexity related challenges in Natural Language Processing (NLP) tasks for Arabic text...,27 Dec 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
lift: lncrna identification and function-prediction tool,https://pureportal.coventry.ac.uk/en/publications/lift-lncrna-identification-and-function-prediction-tool,Long non-coding RNAs (lncRNAs) are a class of non-coding RNAs which play a significant role in several biological processes...,17 Jan 2022,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
machine learning for computer algebra,https://pureportal.coventry.ac.uk/en/publications/machine-learning-for-computer-algebra,not available,2022,"['Rashid Barket, https://pureportal.coventry.ac.uk/en/persons/rashid-barket', 'Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
markov chain monte carlo-based estimation of stress–strength reliability parameter for generalized linear failure rate distributions,https://pureportal.coventry.ac.uk/en/publications/markov-chain-monte-carlo-based-estimation-of-stressstrength-relia,"This paper provides Bayesian and classical inference of Stress–Strength reliability parameter, [Formula: see text], where both [Formula: see text] and [Formula: see text] are independently distributed as 3-parameter generalized linear failure rate (GLFR) random variables with different parameters...",3 Jun 2021,"['A. Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
"matrix decomposition by transforming the unit sphere to an ellipsoid through dilation, rotation and shearing",https://pureportal.coventry.ac.uk/en/publications/matrix-decomposition-by-transforming-the-unit-sphere-to-an-ellips,"There are various decompositions of matrices in the literature such as lower-upper, singular value and polar decompositions to name a few...",19 Oct 2022,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh']"
monte carlo simulation of stochastic differential equation to study information geometry,https://pureportal.coventry.ac.uk/en/publications/monte-carlo-simulation-of-stochastic-differential-equation-to-stu,Information Geometry is a useful tool to study and compare the solutions of a Stochastic Differential Equations (SDEs) for non-equilibrium systems...,12 Aug 2022,"['Abhiram Anand Thiruthummal, https://pureportal.coventry.ac.uk/en/persons/abhiram-thiruthummal', 'Eun-jin Kim, https://pureportal.coventry.ac.uk/en/persons/e-j-kim']"
more than faith - muslim-heritage children in care: strategic briefing,https://pureportal.coventry.ac.uk/en/publications/more-than-faith-muslim-heritage-children-in-care-strategic-briefi,This briefing aims to support senior managers in meeting the needs of Muslim-heritage children and young people in care...,31 May 2022,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Sariya Cheruvallil-Contractor, https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor']"
multi-phase locking value: a generalized method for determining instantaneous multi-frequency phase coupling,https://pureportal.coventry.ac.uk/en/publications/multi-phase-locking-value-a-generalized-method-for-determining-in-2,"Background: Many physical, biological and neural systems behave as coupled oscillators, with characteristic phase coupling across different frequencies...",7 Jan 2022,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he', 'He, F., https://pureportal.coventry.ac.uk/en/persons/fei-he']"
new heuristic to choose a cylindrical algebraic decomposition variable ordering motivated by complexity analysis,https://pureportal.coventry.ac.uk/en/publications/new-heuristic-to-choose-a-cylindrical-algebraic-decomposition-var,It is well known that the variable ordering can be critical to the efficiency or even tractability of the cylindrical algebraic decomposition (CAD) algorithm...,11 Aug 2022,"['Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
off the boil? the challenges of monitoring cooking behaviour in refugee settlements,https://pureportal.coventry.ac.uk/en/publications/off-the-boil-the-challenges-of-monitoring-cooking-behaviour-in-re,"To address the need for improved access to energy and meet the United Nations Clean Energy Challenge (2019), humanitarian agencies require robust, valid, and meaningful data that documents the everyday energy practices of displaced people...",22 Apr 2022,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey', 'Jonathan Nixon, https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon']"
on the implementation of cylindrical algebraic coverings for satisfiability modulo theories solving,https://pureportal.coventry.ac.uk/en/publications/on-the-implementation-of-cylindrical-algebraic-coverings-for-sati,We recently presented cylindrical algebraic coverings: a method based on the theory of cylindrical algebraic decomposition and suited for nonlinear real arithmetic theory reasoning in Satisfiability Modulo Theories solvers...,10 Feb 2022,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
parallel multi-swarm cooperative particle swarm optimization for protein–ligand docking and virtual screening,https://pureportal.coventry.ac.uk/en/publications/parallel-multi-swarm-cooperative-particle-swarm-optimization-for-,Background: A high-quality docking method tends to yield multifold gains with half pains for the new drug development...,30 May 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
parts of speech tagging in nlp- an investigation on runtime optimization with quantum formulation and zx calculus,https://pureportal.coventry.ac.uk/en/publications/parts-of-speech-tagging-in-nlp-an-investigation-on-runtime-optimi,"This paper presents an optimized formulation of the parts of speech tagging in Natural Language Processing (NLP) with a quantum computing approach, and it further demonstrates the quantum gate-level runnable optimization with ZX-calculus, keeping the implementation target in the context of Noisy Intermediate Scale Quantum Systems (NISQ)...",10 Mar 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
polynomial superlevel set representation of the multistationarity region of chemical reaction networks,https://pureportal.coventry.ac.uk/en/publications/polynomial-superlevel-set-representation-of-the-multistationarity,"In this paper we introduce a new representation for the multistationarity region of a reaction network, using polynomial superlevel sets...",27 Sept 2022,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
